City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Bluff,NZ,2021-01-26 22:16:16,-46.6,168.3333,75.0,53,100,10.0
137,Manono,CD,2021-01-26 22:16:17,-7.3,27.4167,70.0,89,94,2.95
138,Pisco,PE,2021-01-26 22:16:17,-13.7,-76.2167,77.32,59,34,10.58
139,Lazaro Cardenas,MX,2021-01-26 22:16:17,17.9583,-102.2,79.95,65,14,7.18
140,Skovorodino,RU,2021-01-26 22:16:17,53.9833,123.9167,-16.28,84,100,7.9
141,Atar,MR,2021-01-26 22:16:17,20.5169,-13.0499,70.39,20,0,7.52
142,Arraial Do Cabo,BR,2021-01-26 22:12:42,-22.9661,-42.0278,78.8,78,0,19.57
143,Bambous Virieux,MU,2021-01-26 22:16:17,-20.3428,57.7575,75.99,88,20,5.75
144,Pitimbu,BR,2021-01-26 22:16:18,-7.4706,-34.8086,80.6,78,20,11.5
145,El Tigre,VE,2021-01-26 22:15:00,8.8875,-64.2454,83.75,50,44,12.75
146,Port Pirie,AU,2021-01-26 22:16:18,-33.1833,138.0167,68.0,68,90,10.36
147,Richards Bay,ZA,2021-01-26 22:16:18,-28.783,32.0377,78.33,86,100,7.92
148,Geraldton,AU,2021-01-26 22:16:18,-28.7667,114.6,67.39,75,14,13.85
149,Castro,BR,2021-01-26 22:16:18,-24.7911,-50.0119,67.39,91,100,3.56
150,Alekseyevsk,RU,2021-01-26 22:16:18,57.8406,108.3492,-26.12,83,100,3.69
151,Moose Factory,CA,2021-01-26 22:16:19,51.2585,-80.6094,6.8,78,90,4.61
152,Lehi,US,2021-01-26 22:13:03,40.3916,-111.8508,35.01,66,100,5.01
153,Kavaratti,IN,2021-01-26 22:16:19,10.5669,72.642,80.74,69,17,10.83
154,Umarkhed,IN,2021-01-26 22:16:19,19.6,77.7,65.55,50,40,5.88
155,Makurdi,NG,2021-01-26 22:16:19,7.7411,8.5121,81.0,16,80,1.07
156,Pandan,PH,2021-01-26 22:16:19,14.0453,124.1694,78.31,87,97,10.65
157,Kashi,CN,2021-01-26 22:16:20,39.4547,75.9797,23.0,63,40,6.71
158,Umm Lajj,SA,2021-01-26 22:16:20,25.0213,37.2685,72.18,71,0,3.0
159,Bukama,CD,2021-01-26 22:16:20,-9.2,25.85,68.79,87,100,2.37
160,Miles City,US,2021-01-26 22:13:09,46.4083,-105.8406,26.6,54,90,11.5
161,Nago,JP,2021-01-26 22:16:20,26.5881,127.9761,66.2,77,75,17.27
162,Slave Lake,CA,2021-01-26 22:15:44,55.2834,-114.769,3.2,72,90,13.8
163,Butaritari,KI,2021-01-26 22:15:10,3.0707,172.7902,80.89,75,16,8.43
164,Fairbanks,US,2021-01-26 22:15:14,64.8378,-147.7164,-8.0,84,75,0.29
165,Whitehorse,CA,2021-01-26 22:16:21,60.7161,-135.0538,1.4,78,90,5.75
166,Rosetown,CA,2021-01-26 22:16:21,51.5501,-108.0014,1.99,85,95,15.99
167,Beringovskiy,RU,2021-01-26 22:16:21,63.05,179.3167,-7.85,90,99,14.99
168,Port Elizabeth,ZA,2021-01-26 22:12:03,-33.918,25.5701,68.0,94,40,9.22
169,College,US,2021-01-26 22:14:05,64.8569,-147.8028,-8.0,84,75,0.34
170,Vanimo,PG,2021-01-26 22:16:22,-2.6741,141.3028,78.58,82,100,4.03
171,Qui Nhon,VN,2021-01-26 22:16:22,13.7667,109.2333,70.77,88,99,8.19
172,Rocha,UY,2021-01-26 22:16:22,-34.4833,-54.3333,76.87,77,98,4.79
173,Sibiti,CG,2021-01-26 22:16:22,-3.6819,13.3499,69.57,97,90,1.01
174,Polovinnoye,RU,2021-01-26 22:16:23,54.7914,65.9864,21.58,96,81,11.74
175,La Salle,US,2021-01-26 22:16:23,41.3334,-89.0918,26.6,80,97,13.8
176,Namibe,AO,2021-01-26 22:16:23,-15.1961,12.1522,76.91,74,2,6.04
177,Port Alfred,ZA,2021-01-26 22:16:23,-33.5906,26.891,69.01,95,90,1.01
178,Presidencia Roque Saenz Pena,AR,2021-01-26 22:16:23,-26.7852,-60.4388,84.0,75,67,1.01
179,Hambantota,LK,2021-01-26 22:16:23,6.1241,81.1185,72.72,76,100,14.12
180,Viedma,AR,2021-01-26 22:16:23,-40.8135,-62.9967,69.01,60,7,19.77
181,Alofi,NU,2021-01-26 22:16:24,-19.0595,-169.9187,80.6,83,100,11.5
182,Seoul,KR,2021-01-26 22:16:24,37.5683,126.9778,33.8,74,0,2.3
183,General Roca,AR,2021-01-26 22:16:24,-39.0333,-67.5833,84.2,21,0,9.22
184,Camana,PE,2021-01-26 22:16:24,-16.6228,-72.7111,73.81,69,87,8.84
185,Souillac,MU,2021-01-26 22:16:24,-20.5167,57.5167,73.4,88,20,5.75
186,Puerto Ayora,EC,2021-01-26 22:16:24,-0.7393,-90.3518,78.01,93,56,7.0
187,Port-Cartier,CA,2021-01-26 22:16:25,50.0334,-66.8654,32.0,69,99,4.61
188,Astana,KZ,2021-01-26 22:11:53,51.1801,71.446,24.66,98,100,14.32
189,Aklavik,CA,2021-01-26 22:16:25,68.2191,-135.0107,-11.2,77,68,3.44
190,Victor Harbor,AU,2021-01-26 22:15:09,-35.5667,138.6167,61.0,69,5,1.99
191,Lompoc,US,2021-01-26 22:16:25,34.6391,-120.4579,53.6,50,1,10.36
192,Santa Isabel,BR,2021-01-26 22:16:25,-23.3156,-46.2214,78.8,83,20,10.36
193,Coihaique,CL,2021-01-26 22:16:25,-45.5752,-72.0662,53.6,58,75,8.05
194,Clyde River,CA,2021-01-26 22:16:26,70.4692,-68.5914,5.0,72,1,26.46
195,Yumen,CN,2021-01-26 22:16:26,40.2833,97.2,19.98,77,0,30.15
196,Nagorsk,RU,2021-01-26 22:16:26,59.3172,50.8078,27.84,98,97,7.72
197,Cherskiy,RU,2021-01-26 22:16:26,68.75,161.3,-39.66,78,64,1.7
198,Elizabeth City,US,2021-01-26 22:16:26,36.2946,-76.2511,51.8,87,90,6.91
199,Domoni,KM,2021-01-26 22:16:26,-12.2569,44.5319,77.86,75,0,2.53
200,Palmer,US,2021-01-26 22:16:27,42.1584,-72.3287,28.99,91,100,3.96
201,Magadan,RU,2021-01-26 22:16:27,59.5667,150.8,-6.84,82,95,9.22
202,Ulaanbaatar,MN,2021-01-26 22:11:33,47.9077,106.8832,-31.0,68,0,3.02
203,Lagoa,PT,2021-01-26 22:16:27,39.05,-27.9833,62.35,87,100,40.09
204,Marti,CU,2021-01-26 22:16:27,22.9475,-80.9203,79.65,64,0,9.57
205,Flinders,AU,2021-01-26 22:16:27,-34.5833,150.8552,71.01,84,100,7.0
206,Joshimath,IN,2021-01-26 22:16:28,30.5667,79.5667,37.94,36,0,7.16
207,Suntar,RU,2021-01-26 22:16:28,62.1444,117.6319,-50.85,76,67,1.95
208,Pevek,RU,2021-01-26 22:16:28,69.7008,170.3133,-30.14,85,42,2.17
209,Krasnoselkup,RU,2021-01-26 22:16:28,65.7,82.4667,-27.38,85,100,18.1
210,Pauini,BR,2021-01-26 22:16:28,-7.7136,-66.9764,79.83,92,100,2.48
211,Aksarka,RU,2021-01-26 22:16:28,66.5606,67.7975,-30.84,82,2,9.64
212,Bourail,NC,2021-01-26 22:16:28,-21.5667,165.4833,79.41,66,83,4.27
213,Kamskiye Polyany,RU,2021-01-26 22:16:29,55.4307,51.4171,21.2,86,90,11.18
214,Guarapari,BR,2021-01-26 22:16:29,-20.6667,-40.4975,80.6,74,20,13.8
215,Isangel,VU,2021-01-26 22:16:29,-19.55,169.2667,82.4,78,75,11.5
216,Nome,US,2021-01-26 22:16:29,64.5011,-165.4064,14.0,85,90,3.18
217,Bahar,IR,2021-01-26 22:16:29,34.9072,48.4414,32.41,84,0,2.01
218,La Palma,US,2021-01-26 22:16:29,33.8464,-118.0467,57.0,35,20,9.22
219,Mecca,SA,2021-01-26 22:12:03,21.4267,39.8261,73.17,70,1,3.96
220,Kodiak,US,2021-01-26 22:16:30,57.79,-152.4072,37.4,52,1,11.5
221,Tanete,ID,2021-01-26 22:16:30,-3.9443,119.7848,75.45,85,100,2.57
222,Sayyan,YE,2021-01-26 22:16:30,15.1718,44.3244,42.26,56,68,3.51
223,Saldanha,ZA,2021-01-26 22:16:30,-33.0117,17.9442,64.4,77,9,11.5
224,Codrington,AU,2021-01-26 22:16:30,-38.2667,141.9667,56.95,67,100,17.18
225,Fare,PF,2021-01-26 22:16:31,-16.7,-151.0167,81.48,74,14,15.95
226,Tiznit,MA,2021-01-26 22:16:31,29.5833,-9.5,64.63,41,0,2.44
227,Kalmunai,LK,2021-01-26 22:16:31,7.4167,81.8167,73.87,79,95,9.44
228,Ballina,AU,2021-01-26 22:16:31,-28.8667,153.5667,80.6,74,4,4.61
229,Puerto Madryn,AR,2021-01-26 22:16:31,-42.7692,-65.0385,71.06,27,67,7.78
230,Obo,CF,2021-01-26 22:16:31,5.3998,26.4869,71.46,36,0,2.28
231,Cayenne,GF,2021-01-26 22:16:32,4.9333,-52.3333,78.8,94,90,3.44
232,Zyryanka,RU,2021-01-26 22:12:10,65.75,150.85,-31.23,83,100,10.38
233,Ponta Do Sol,PT,2021-01-26 22:16:32,32.6667,-17.1,57.99,70,31,3.0
234,Agua Dulce,MX,2021-01-26 22:16:32,18.1333,-94.1333,83.86,68,0,5.39
235,Abong Mbang,CM,2021-01-26 22:16:32,3.9833,13.1833,71.24,56,13,3.58
236,Tazovskiy,RU,2021-01-26 22:16:33,67.4667,78.7,-27.74,85,100,12.08
237,Kirakira,SB,2021-01-26 22:16:33,-10.4544,161.9205,84.29,76,58,14.34
238,Srednekolymsk,RU,2021-01-26 22:16:33,67.45,153.6833,-31.43,83,100,10.6
239,Nanortalik,GL,2021-01-26 22:16:34,60.1432,-45.2371,15.51,83,0,8.46
240,Oranjemund,NA,2021-01-26 22:16:34,-28.55,16.4333,62.56,87,65,14.0
241,Sumalig,PH,2021-01-26 22:16:34,7.9986,123.6627,73.04,93,100,1.57
242,Lata,PT,2021-01-26 22:16:34,40.1629,-8.3327,59.0,96,100,1.81
243,Novopavlovka,RU,2021-01-26 22:16:34,51.2172,109.2091,-22.76,84,94,3.83
244,Sapouy,BF,2021-01-26 22:16:34,11.5544,-1.7736,75.76,18,1,6.22
245,Lethem,GY,2021-01-26 22:16:35,3.3803,-59.7968,86.0,66,75,13.8
246,Hami,CN,2021-01-26 22:16:35,42.8,93.45,17.62,81,2,4.74
247,Malakal,SS,2021-01-26 22:16:35,9.5334,31.6605,80.46,28,0,5.99
