City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Rawson,AR,-43.3002,-65.1023,61.25,61,0,14.67,clear sky
125,Utinga,BR,-5.8172,-35.3954,80.6,74,40,11.5,scattered clouds
126,Martapura,ID,-3.4167,114.85,77.0,94,0,5.75,clear sky
127,Norman Wells,CA,65.282,-126.8329,-27.4,68,20,2.3,few clouds
128,Severo-Kurilsk,RU,50.6789,156.125,28.38,91,90,7.31,overcast clouds
129,Ajdabiya,LY,30.7554,20.2263,51.82,77,2,4.09,clear sky
130,Nogliki,RU,51.8333,143.1667,-1.84,90,54,8.37,broken clouds
131,Mehamn,NO,71.0357,27.8492,22.14,92,100,22.06,overcast clouds
132,Luwuk,ID,-0.9516,122.7875,85.39,57,100,1.57,overcast clouds
133,Hilo,US,19.7297,-155.09,73.63,61,69,7.63,broken clouds
134,Chokurdakh,RU,70.6333,147.9167,-19.19,88,100,6.44,overcast clouds
135,Puerto Madryn,AR,-42.7692,-65.0385,63.79,54,0,16.55,clear sky
136,Butaritari,KI,3.0707,172.7902,80.78,78,88,15.48,overcast clouds
137,Port Keats,AU,-14.25,129.55,82.2,82,100,11.72,light rain
138,Rundu,NA,-17.9333,19.7667,66.11,94,100,6.96,light rain
139,Arraial Do Cabo,BR,-22.9661,-42.0278,77.5,83,9,24.25,clear sky
140,Baijiantan,CN,45.6333,85.1833,4.82,92,2,1.45,clear sky
141,Provideniya,RU,64.3833,-173.3,10.4,72,0,17.9,clear sky
142,Victoria,HK,22.2855,114.1577,61.0,55,12,3.0,few clouds
143,Cervo,ES,43.6702,-7.4101,55.0,98,95,11.99,overcast clouds
144,Tautira,PF,-17.7333,-149.15,80.8,67,90,7.29,overcast clouds
145,Mar Del Plata,AR,-38.0023,-57.5575,72.0,88,75,9.22,light rain
146,Wuxue,CN,29.8506,115.5525,42.67,63,0,4.5,clear sky
147,San Rafael,AR,-34.6177,-68.3301,73.29,30,54,8.68,broken clouds
148,Tsiroanomandidy,MG,-18.7667,46.0333,67.75,93,0,0.56,clear sky
149,Pisco,PE,-13.7,-76.2167,71.2,72,69,1.3,broken clouds
150,Pedasi,PA,7.5333,-80.0333,79.99,76,49,22.41,scattered clouds
151,Lagoa,PT,39.05,-27.9833,62.44,90,100,37.74,overcast clouds
152,Shulan,CN,44.4167,126.95,-14.98,88,35,5.79,scattered clouds
153,Bengkulu,ID,-3.8004,102.2655,76.06,86,99,9.57,light rain
154,Plettenberg Bay,ZA,-34.0527,23.3716,61.47,75,0,5.64,clear sky
155,Sur,OM,22.5667,59.5289,60.73,57,0,1.16,clear sky
156,Kargasok,RU,59.0556,80.8572,5.76,95,97,4.59,overcast clouds
157,Avera,US,33.194,-82.5271,42.57,63,0,6.22,clear sky
158,Vredendal,ZA,-31.6683,18.5012,55.47,83,0,2.46,clear sky
159,Ust-Maya,RU,60.4167,134.5333,-42.47,78,100,0.94,overcast clouds
160,Hasaki,JP,35.7333,140.8333,45.63,54,20,22.59,few clouds
161,Dunn,US,44.95,-91.8835,10.35,95,84,6.22,broken clouds
162,Upata,VE,8.0086,-62.3989,75.0,82,46,5.01,scattered clouds
163,Sakakah,SA,29.9697,40.2064,50.0,53,0,6.91,clear sky
164,Boueni,YT,-12.9025,45.0761,80.6,83,20,4.61,few clouds
165,Inhambane,MZ,-23.865,35.3833,77.95,88,21,4.52,few clouds
166,Cabedelo,BR,-6.9811,-34.8339,78.8,79,0,11.25,clear sky
167,Ndjole,GA,-0.1783,10.7649,74.39,92,100,2.35,light rain
168,Volksrust,ZA,-27.3654,29.8818,53.92,97,100,1.21,overcast clouds
169,Port Moresby,PG,-9.4431,147.1797,86.77,63,82,15.82,moderate rain
170,Kinkala,CG,-4.3614,14.7644,71.29,85,100,1.9,overcast clouds
171,Russell,US,32.3502,-85.1999,48.2,60,1,8.05,clear sky
172,Pangnirtung,CA,66.1451,-65.7125,3.69,72,0,3.09,clear sky
173,Diffa,NE,13.3154,12.6113,66.34,31,0,11.03,clear sky
174,Lusaka,ZM,-15.4067,28.2871,63.68,97,100,4.45,overcast clouds
175,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,94,75,25.32,broken clouds
176,Juigalpa,NI,12.1063,-85.3645,75.9,74,100,14.76,overcast clouds
177,Praia,CV,14.9215,-23.5087,68.0,64,0,11.5,clear sky
178,Pacific Grove,US,36.6177,-121.9166,53.6,82,75,5.75,broken clouds
179,Fare,PF,-16.7,-151.0167,81.75,64,100,7.09,overcast clouds
180,Kamiiso,JP,41.8167,140.65,37.4,65,75,26.46,broken clouds
181,Barrow,US,71.2906,-156.7887,-11.2,70,1,10.36,clear sky
182,Kislovodsk,RU,43.9133,42.7208,35.6,93,90,4.47,light rain
183,Ambilobe,MG,-13.2,49.05,73.58,90,68,2.39,broken clouds
184,Makaleng,BW,-20.9,27.2833,69.37,87,100,16.8,light rain
185,Codrington,AU,-38.2667,141.9667,74.08,77,100,11.14,overcast clouds
186,Santa Rita,BR,-7.1139,-34.9781,80.6,78,75,6.91,broken clouds
187,Vangaindrano,MG,-23.35,47.6,75.88,91,60,3.22,light rain
188,Kem,RU,64.9555,34.5793,16.99,97,100,9.06,overcast clouds
189,Portland,US,45.5234,-122.6762,46.4,76,90,4.61,overcast clouds
190,Sibolga,ID,1.7427,98.7792,76.91,68,100,3.85,overcast clouds
191,Lorengau,PG,-2.0226,147.2712,84.6,71,100,8.84,overcast clouds
192,Senneterre,CA,48.3835,-77.2328,-4.0,71,75,5.75,light snow
193,Front Royal,US,38.9182,-78.1944,28.4,46,90,8.05,overcast clouds
194,Sioux Lookout,CA,50.1001,-91.917,-4.0,84,20,4.61,few clouds
195,Mitsamiouli,KM,-11.3847,43.2844,82.38,73,8,6.4,clear sky
196,Tiksi,RU,71.6872,128.8694,-24.52,86,99,7.87,overcast clouds
197,Inuvik,CA,68.3499,-133.7218,-20.2,76,0,5.75,clear sky
198,Ilulissat,GL,69.2167,-51.1,-0.94,70,0,8.21,clear sky
199,Namikupa,TZ,-10.8333,39.6,71.17,97,100,3.09,overcast clouds
200,Krasnogorskoye,RU,52.2953,86.1979,21.52,92,99,9.22,overcast clouds
201,Moose Factory,CA,51.2585,-80.6094,1.4,78,90,10.36,overcast clouds
202,Pedernales,DO,18.0384,-71.744,75.56,69,76,2.33,broken clouds
203,Lae,PG,-6.7221,146.9847,84.2,70,40,13.8,scattered clouds
204,New Norfolk,AU,-42.7826,147.0587,66.0,53,100,4.0,overcast clouds
205,Dunda,TZ,-8.1167,34.25,63.19,92,87,0.54,light rain
206,Maumere,ID,-8.6199,122.2111,82.29,77,100,16.49,overcast clouds
207,Manakara,MG,-22.1333,48.0167,75.42,92,6,1.95,clear sky
208,West Bay,KY,19.3667,-81.4167,78.8,61,20,10.36,few clouds
209,Kieta,PG,-6.2167,155.6333,85.86,71,100,13.11,light rain
210,Ahipara,NZ,-35.1667,173.1667,65.7,57,8,17.18,clear sky
211,Torbay,CA,47.6666,-52.7314,23.0,86,90,6.91,overcast clouds
212,Saint George,US,37.1041,-113.5841,45.27,57,91,6.15,overcast clouds
213,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,32.0,86,90,8.95,snow
214,Cherskiy,RU,68.75,161.3,-28.62,85,0,3.0,clear sky
215,Kahului,US,20.8947,-156.47,80.6,54,40,25.32,scattered clouds
216,Esperance,AU,-33.8667,121.9,66.2,63,40,6.91,scattered clouds
217,Port Elizabeth,ZA,-33.918,25.5701,57.2,94,0,3.44,clear sky
218,Derzhavinsk,KZ,51.1,66.3167,17.38,92,0,8.41,clear sky
219,Saint-Georges,GD,12.0564,-61.7485,77.13,78,0,12.08,clear sky
220,Kanker,IN,20.2719,81.4931,63.93,61,0,4.54,clear sky
221,Champasak,LA,14.75,106.0,68.0,60,0,2.3,clear sky
222,Sidi Ali,DZ,36.0998,0.4206,57.52,77,23,4.25,few clouds
223,Olafsvik,IS,64.8945,-23.7142,30.27,87,91,2.44,overcast clouds
224,Thohoyandou,ZA,-22.9456,30.485,65.26,97,100,5.97,light rain
225,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.06,81,55,20.74,broken clouds
226,Timra,SE,62.487,17.3257,12.2,85,90,9.22,overcast clouds
227,Gagino,RU,55.2314,45.0339,15.44,96,100,8.48,overcast clouds
228,Okhotsk,RU,59.3833,143.3,-10.82,80,0,5.32,clear sky
229,Hereford,GB,52.0568,-2.7148,48.0,93,100,17.69,overcast clouds
230,Tasiilaq,GL,65.6145,-37.6368,24.8,93,90,19.57,light rain
231,Tsumeb,NA,-19.2333,17.7167,64.4,94,100,1.14,overcast clouds
232,Kurumkan,RU,54.3,110.3,-22.14,75,16,2.62,few clouds
233,Tuktoyaktuk,CA,69.4541,-133.0374,-31.0,75,20,5.75,few clouds
234,Yar-Sale,RU,66.8333,70.8333,-27.71,85,100,9.53,overcast clouds
235,Mount Gambier,AU,-37.8333,140.7667,73.4,68,75,10.36,broken clouds
236,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,63,40,2.24,scattered clouds
237,Fairbanks,US,64.8378,-147.7164,0.0,77,75,1.79,broken clouds
238,Ban Nahin,LA,18.2418,104.2122,65.68,68,0,3.38,clear sky
239,Yerbogachen,RU,61.2767,108.0108,-43.24,79,33,4.76,scattered clouds
240,Harper,LR,4.375,-7.7169,77.5,88,0,4.61,clear sky
241,Rio Branco,BR,-9.9747,-67.81,73.4,100,75,6.91,heavy intensity rain
242,Deputatskiy,RU,69.3,139.9,-36.38,81,100,2.82,overcast clouds
243,Banda Aceh,ID,5.5577,95.3222,78.85,73,99,9.93,overcast clouds
244,Amuntai,ID,-2.4177,115.2494,78.62,86,100,1.83,moderate rain
245,Faanui,PF,-16.4833,-151.75,81.36,67,100,5.23,overcast clouds
246,Yurla,RU,59.3259,54.3223,18.28,97,100,4.43,overcast clouds
247,Hobyo,SO,5.3505,48.5268,76.35,70,40,18.68,scattered clouds
248,Bambous Virieux,MU,-20.3428,57.7575,75.99,88,40,8.84,scattered clouds
249,Saint-Joseph,RE,-21.3667,55.6167,77.56,69,4,4.25,clear sky
250,Lukovetskiy,RU,64.2956,41.9211,4.86,94,100,8.66,light snow
251,Gimli,CA,50.6336,-96.9907,4.8,94,79,9.75,broken clouds
252,Beamsville,CA,43.1668,-79.4829,19.99,63,94,10.36,overcast clouds
253,Inndyr,NO,67.0338,14.0276,19.4,63,0,23.02,clear sky
254,Bose,IT,45.4612,8.0137,36.1,86,0,1.5,clear sky
255,Zapolyarnyy,RU,69.4154,30.8136,3.06,89,100,14.61,overcast clouds
256,Denpasar,ID,-8.65,115.2167,84.2,74,20,8.05,few clouds
257,Huilong,CN,31.8111,121.655,41.0,39,0,1.99,clear sky
258,Aklavik,CA,68.2191,-135.0107,-25.6,68,40,5.75,scattered clouds
259,Karatau,KZ,43.1667,70.4667,14.05,90,0,3.58,clear sky
260,Quatre Cocos,MU,-20.2078,57.7625,78.35,76,45,8.55,scattered clouds
261,Plover,US,44.4564,-89.544,15.8,73,90,1.86,overcast clouds
262,Brae,GB,60.3964,-1.353,35.28,81,79,5.1,broken clouds
263,Fallon,US,39.4735,-118.7774,48.2,49,90,20.71,overcast clouds
264,Apiai,BR,-24.5094,-48.8425,65.88,100,100,1.81,overcast clouds
265,Carutapera,BR,-1.195,-46.02,78.91,82,100,5.79,overcast clouds
266,Saint-Leu,RE,-21.15,55.2833,75.99,62,15,5.3,few clouds
267,Umm Kaddadah,SD,13.6017,26.6876,66.63,20,12,19.39,few clouds
268,Haines Junction,CA,60.7522,-137.5108,-16.6,76,100,2.55,overcast clouds
269,Ciresu,RO,44.95,27.35,28.74,94,95,10.89,overcast clouds
270,Namibe,AO,-15.1961,12.1522,72.86,75,100,4.63,overcast clouds
271,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,5.75,clear sky
272,Sokoni,TZ,-6.4333,39.55,80.85,81,57,12.44,broken clouds
273,Dauriya,RU,49.9333,116.8667,-15.79,88,100,3.71,overcast clouds
274,Moissac,FR,44.1024,1.0945,50.0,100,90,1.14,overcast clouds
275,Nome,US,64.5011,-165.4064,3.9,89,100,6.29,overcast clouds
276,Ancud,CL,-41.8697,-73.8203,57.2,77,75,3.44,broken clouds
277,Yeniseysk,RU,58.4497,92.1703,-23.03,86,100,10.65,snow
278,Buchanan,LR,5.8808,-10.0467,77.0,94,0,6.17,clear sky
279,Iranshahr,IR,27.2025,60.6848,44.6,12,0,6.91,clear sky
280,Husavik,IS,66.0449,-17.3389,15.04,85,100,9.01,overcast clouds
